text,Prediction Probabilities
"China's renewable energy trade potential in the ""Belt-and-Road"" countries: A gravity model analysis The trade ties between China and the ""Belt-and-Road"" Countries have been developing rapidly since the ""Belt-and-Road Initiative"" was proposed in 2013. Understanding the potential of renewable energy trade products in this region is of great significance for the renewable energy industry. By adopting the gravity model and data of 81 products from 2007 to 2017 across 66 countries, empirical evidence was examined of China's renewable energy product trade potential in the “Belt and Road” countries. The results indicated that: (1) The gross domestic product (GDP) of the “Belt and Road” countries and the total energy consumption of two trading parties were the main factors affecting China's export of renewable energy products; (2) Among the 65 countries along the “Belt and Road”, China had great potentials for exporting renewable energy products in 26 countries, and most of them were in the CIS, Central and Eastern Europe, West Asia, South Asia and Central Asia; and (3) China's trade potentials for renewable energy products had increased year by year during the study period in the 16 countries in Central and Eastern Europe, and experienced ups and downs in other regions. In recent years, China's trade potential in the CIS countries had rebounded significantly.",65.87
"Causal interactions between trade openness, renewable electricity consumption, and economic growth in Asia-Pacific countries: Fresh evidence from a bootstrap ARDL approach This paper applies a new bootstrap Autoregressive Distributed Lag (ADL) approach to examine the nexus between trade openness, renewable electricity consumption, and economic growth for seven countries in the Asia-Pacific region during 1980–2017 period. In fact, there is no evidence of cointegration among real trade openness, electricity consumption, and real GDP per capita in countries, with the exception of Malaysia, where real GDP serves as dependent variable. However, cointegration does manifest in the cases of Indonesia, Japan, South Korea, and Thailand when trade openness is used as the dependent variable. A similar outcome is observed for Indonesia, Malaysia, and Thailand when renewable electricity consumption is used as the dependent variable. A short-run analysis reveals mixed results in term of the direction of the causality among different variables for various countries. Such results have implications for trade, energy, and environmental policies. One implication is that any environmental policy aiming to reduce the use of non-renewable energy and carbon dioxide emissions will inevitably lead to greater renewable energy consumption, which in turn may enhance trade openness and ultimately accelerate economic growth.",79.86
"Resistance in rejecting solid fuels: Beyond availability and adoption in the structural dominations of cooking practices in rural India Abstract Solid fuels are the primary cooking fuels in a wide range of developing countries, a situation that is projected to remain for the coming few decades. In the energy poverty scholarship, it is a well-argued concept that social systems influence people’s energy choices. Influenced by theories of Practice, this study explores the role that social structure plays in the perpetuation of the use of solid cooking fuels, with a particular focus on rural India. We employ a qualitative approach of inquiry for data collection in three villages in Chittoor district in the state of Andhra Pradesh. The results presented in this paper are based on in-depth household interviews and focus group discussions. The findings suggest that cooking with solid fuels is intertwined with structural elements, such as established traditions, traditional income generating practices, gender norms, and a sense of belonging. These factors profoundly dominate households’ decisions to continue using solid fuels despite the availability and the adoption of modern alternatives. The paper argues that interventions targeted at reducing the use of solid fuels may fail if they: 1) focus only on supplying modern fuels; 2) do not consider contextual social barriers; and 3) are implemented as standalone projects.",73.68
"Attitudes towards domestic violence in 49 low- and middle-income countries: A gendered analysis of prevalence and countrylevel correlates Abstract Background Violence against women by an intimate partner (DV) is a serious public health and human rights issue. Attitudes justifying DV strongly predict its perpetration and victimisation. This paper presents gendered ecological analyses of the societal acceptance of DV in 49 lowand middle-income countries (LMICs) across geographical regions. Methods and findings We utilised data from 49 Demographic and Health Surveys conducted between 2005 and 2017, United Nations Statistics and topic-specific meta-databases. DV acceptance was measured as the justification of 'wife-beating' in at least one of five circumstances, and by the summative scale. Stepwise multiple linear regression examined country-level social, economic and political empowerment predictors of societal acceptance of DV amongst women, men, and the aggregate gender difference. Women were more likely than men to justify DV in Sub-Saharan Africa and South (east) Asia with societal acceptance of DV being more widespread in these regions compared with Latin America, the Caribbean, Central/ West Asia and Europe. Political conflict and limited economic rights for women were associated with higher levels of DV acceptance amongst women and men. Men in more democratic countries were less likely to justify DV. Amongst women, higher national female literacy rates predicted lower levels of justification. There were higher levels of DV acceptance amongst women and a wider aggregate gender difference in countries with a larger representation of women in national parliament. Conclusion Justification of DV is widespread amongst women and men in LMICs with acceptance rates varying across countries and regions. Gender differences in the impact of contextual factors on DV acceptance supports a gendered approach to national-level interventions. Our findings highlight the need for tailored interventions targeting DV acceptance in conflict-impacted societies. The emphasis of inter(national) policies on the 'empowerment' domains of widely-used gender (in)equality indices need to be coupled with strategies tackling discriminatory gender norms.",89.21
"Traditional Mechanism to Eliminate Violence against Women: A Perspective from Nigeria Different points of view have been projected by scholars with regard to the role culture and religious beliefs play when it comes to women empowerment against cultural traditions that are not constructive. Many of these practices, defended in the name of tradition, that impinge on human rights are gender specific; they preserve patriarchy at the expense of women’s rights. The girl child often faces discrimination from the earliest stages of life, through childhood and into adulthood. These cultural traditions among others are responsible for the physical and psychological underdevelopment of women and the girl-child and that in turn affects their input in the development of their nation. There are catalogue of traditional practices in Nigeria which include, girl-child marriages, educational backwardness, widowhood rituals, spousal abuse, irresponsible divorce, male-child preference, female circumcision among others. The need to transform cultural beliefs that perpetuate violence against women can never be over emphasized. These practices constitute violence against women and as such must be treated as a national crisis. There can be no justice, development nor democracy if violence against women is seen accepted. The paper’s aim is to seek ways of utilizing tradition (religion and culture) in achieving women’s equality and empowerment as stated in UN Sustainable Development Goal. Hence, the paper reviews the challenges of traditional practices and examines the possibilities available for women empowerment by utilising religious and positive cultural practices. This is done through eliminating traditional practices detrimental to female empowerment while the positive elements of the tradition are retained.",68.68
"Gender equality as a means to women empowerment? Consensus, challenges and prospects for post-2015 development agenda in Africa Abstract In this paper, we have examined gender equality and women’s empowerment (GEWE) as reflected in the millennium development goals (MDGs) as well as the conceptualization and localization of the sustainable development goals (SDGs). The paper adopts Amartya Sen’s women agency conceptual framework to advance the thesis of this article that while there is general consensus on achieving gender equality and women’s empowerment, the MDGs adopted in 2001 fell far short of fulfilling this consensus and that the incoming SDGs must respond to fundamental issues of GEWE from both quantitative and qualitative perspectives. This paper addresses the issues of conceptualization, context, and design of MDGs and how lessons learnt in its implementation inform SDGs. The question is, will GEWE maintain any pride of place? Analysis in the paper reveals that qualitative indicators such as human rights, equity, and capabilities were silent in the MDG design, constructs, and implementation. The paper suggests that the understanding and putting in place of mechanisms for continuous assessment of the human-centered indicators, such as quality of life, as part of the SDGs’ localization efforts portend increasing effectiveness of SDGs toward addressing gender-sensitive issues of social exclusion, inequality, and resource distribution, which have a great bearing on sustainable development.",74.01
"Digital Workplace Implementation To Promote Gender Equality Abstract—The  focus  of  this  research  is  to  provide  an explanation  of  how the  digital  workplace  can help  to  promote gender equality in the organization. We conduct interviews with 4  managers  and  8  selected  woman  on  different  organization regarding   expected   condition   at   the   workplace. In   the Organization  perspective,  Interviews  revealed  Regulation  and Financial   problem   is   the   most   important   things   before implementing   digital   workplace   while   for   the   employees adequate training is needed. This paper provides an explanation of why it is important, challenge and barrier and strategy that organization  could  adopt  to  implement  digital  workplace  to promote  gender  equality. Future  research  would  also  be proposed.",69.08
"Sexual relationship power and malnutrition among HIV-positive women in rural uganda Abstract Inequality within partner relationships is associated with HIV acquisition and gender violence, but little is known about more pervasive effects on women's health. We performed a cross-sectional analysis of associations between sexual relationship power and nutritional status among women in Uganda. Participants completed questionnaires and anthropometric measurements. We assessed sexual relationship power using the Sexual Relationship Power Scale (SRPS). We performed logistic regression to test for associations between sexual relationship power and poor nutritional status including body mass index, body fat percentage, and mid-upper arm circumference. Women with higher sexual relationship power scores had decreased odds of low body mass index (OR 0.29, p = 0.01), low body fat percentage (OR 0.54, p = 0.04), and low mid-upper arm circumference (OR 0.22, p = 0.01). These relationships persisted in multivariable models adjusted for potential confounders. Targeted interventions to improve intimate partner relationship equality should be explored to improve health status among women living with HIV in rural Africa.",85.3
"The Impact of COVID-19 on Women Action, was intended to be ground-breaking for gender equality. Instead, with the spread of the COVID-19 pandemic even the limited gains made in the past decades are at risk of being rolled back. The pandemic is deepening pre-existing inequalities, exposing vulnerabilities in social, political and economic systems which are in turn amplifying the impacts of the pandemic. Across every sphere, from health to the economy, security to social protection, the impacts of COVID-19 are exacerbated for women and girls simply by virtue of their sex: > Compounded economic impacts are felt especially by women and girls who are generally earning less, saving less, and holding insecure jobs or living close to poverty. > While early reports reveal more men are dying as a result of COVID-19, the health of women generally is adversely impacted through the reallocation of resources and priorities, including sexual and reproductive health services. > Unpaid care work has increased, with children out-of-school, heightened care needs of older persons and overwhelmed health services.",64.97
"Associations of women's empowerment with neonatal, infant and under-5 mortality in low-and /middle-income countries: meta-analysis of individual participant data from 59 countries Background Child survival and women's empowerment are global public health concerns and important sustainable development goals (SDGs). Low-and middle-income countries (LMICs) have the largest burden of both phenomena. The aim of this study is to investigate a measure of women's empowerment at individual and population levels and its potential associations with neonatal, infant and under-5 mortality at national and regional levels in 59 LMICs. Methods We used pooled population-based cross-sectional surveys from 59 LMICs (n=6 12 529) conducted from 2000 to 2015 using standardised protocols. We constructed individual-level women's empowerment index (ILWEI) and population-level women's empowerment index (PLWEI) for LMICs and investigated the potential associations of these measures with neonatal, infant and under-5 mortality using two-stage random-effect individual participant data (IPD) meta-analysis. Results The pooled neonatal mortality rate was 24 per 1000 live births. Infant and under-5 mortality rates were 43 and 55/1000 live births, respectively. In the pooled sample, 61.6% and 19.9% of women had autonomy regarding their healthcare and household decision-making, respectively, whereas 56.0% rejected domestic violence against women for any reason. IPD meta-analysis showed that children of women with low ILWEI had a higher risk of neonatal (OR: 1.18, 95% CI 1.14 to 1.22), infant (OR: 1.12, 95% CI 1.08 to 1.17) and under-5 (OR: 1.12, 95% CI 1.07 to 1.18) mortality compared with children of high ILWEI. Similar relationships were found across most of the regions as well as between PLWEI and all the three outcomes. Conclusions Women's empowerment at individual and population levels is associated with neonatal, infant and under-5 mortality in LMICs. Our study underscores the importance of women's empowerment in accelerating progress towards the attainment of the SDG targets for child survival in LMICs. Multi-sectoral and concerted efforts are necessary to eliminate preventable child mortality in these countries.",69.21
"Key points for abolishing Female Genital Mutilation from the perspective of the men involved. ABSTRACT INTRODUCTION female Genital Mutilation is internationally considered an affront on human rights and an act of violence against women and young girls. Furthermore, it hierarchises and perpetuates inequality and denies the right to bodily and psychosocial integrity of women and young girls. AIMS to detect the key points for the abolition of Female Genital Mutilation as well as the necessary resources for its eradication. MATERIAL AND METHOD a qualitative methodology with an ethnonursing perspective, via semi-structured interviews, held both individually and in groups, in 21 men familiar with Female Genital Mutilation. FINDINGS through the voices of men familiar with this tradition, five key points are presented for its gradual eradication: sensitisation and awareness building, team action, abolition-promoting media, focusing action on rural areas and applying educational means before punitive ones. CONCLUSION AND PRACTICAL IMPLICATIONS awareness-raising via the combined efforts of families, communities and governments, together with the promotion of health education programmes in demonstrating the complications derived from this practice, play a vital part in eradicating Female Genital Mutilation",66.76
"﻿REGIONAL VARIATIONS IN CHILD MARRIAGE IN BANGLADESH. This study aimed to investigate the regional variations in the prevalence of child marriage in Bangladesh with a view to providing recommendations for division-specific policy interventions. Data from the 2011 Bangladesh Demographic and Health Survey were analysed using multivariate logistic regression. Substantial regional variations in child marriage were found in Bangladesh. Rangpur and Khulna had more than four times higher odds of child marriage than Sylhet (4.57 and 4.11 times, respectively). Barisal and Rajshahi had more than three times higher odds of child marriage than Sylhet (3.70 and 3.48 times, respectively). Chittagong and Dhaka had about two times odds of child marriage than Sylhet (1.98 and 2.67 times, respectively), even after controlling for selected socio-demographic, economic and cultural characteristics. Respondent's education, employment status, husband's education and wealth index were inversely associated with the prevalence of child marriage. The policy implications of these findings are discussed in the context of Bangladesh.",93.47
"﻿Management of painful clitoral neuroma after female genital mutilation/cutting BackgroundTraumatic neuromas are the result of regenerative disorganized proliferation of the proximal portion of lesioned nerves. They can exist in any anatomical site and are responsible for neuropathic pain. Post-traumatic neuromas of the clitoris have been described as an uncommon consequence of female genital mutilation/cutting (FGM/C). FGM/C involves partial or total removal of the female genital organs for non-therapeutic reasons. It can involve cutting of the clitoris and can cause psychological, sexual, and physical complications. We aimed to evaluate the symptoms and management of women presenting with a clitoral neuroma after female genital mutilation/cutting (FGM/C).MethodsWe identified women who attended our specialized clinic for women with FGM/C who were diagnosed with a traumatic neuroma of the clitoris between April 1, 2010 and June 30, 2016. We reviewed their medical files and collected socio-demographic, clinical, surgical, and histopathological information.ResultsSeven women were diagnosed with clitoral neuroma. Six attended our clinic to undergo clitoral reconstruction, and three of these suffered from clitoral pain. The peri-clitoral fibrosis was removed during clitoral reconstruction, which revealed neuroma of the clitoris in all six subjects. Pain was ameliorated after surgery.The seventh woman presented with a visible and palpable painful clitoral mass diagnosed as a neuroma. Excision of the mass ameliorated the pain.Sexual function improved in five women. One was not sexually active, and one had not yet resumed sex.ConclusionPost-traumatic clitoral neuroma can be a consequence of FGM/C. It can cause clitoral pain or be asymptomatic. In the case of pain symptoms, effective treatment is neuroma surgical excision, which can be performed during clitoral reconstruction. Surgery should be considered as part of multidisciplinary care. The efficacy of neuroma excision alone or during clitoral reconstruction to treat clitoral pain should be further assessed among symptomatic women.",79.68
"The role of men in abandonment of female genital mutilation: a systematic review ABSTRACT BackgroundMen in their roles as fathers, husbands, community and religious leaders may play a pivotal part in the continuation of female genital mutilation (FGM). However, the research on their views of FGM and their potential role in its abandonment are not well described.MethodsWe undertook a systematic review of all publications between 2004 and 2014 that explored mens attitudes, beliefs, and behaviours in regards to FGM, as well as their ideas about FGM prevention and abandonment.ResultsWe included twenty peer-reviewed articles from 15 countries in the analysis. Analysis revealed ambiguity of mens wishes in regards to the continuation of FGM. Many men wished to abandon this practice because of the physical and psychosexual complications to both women and men. Social obligation and the silent culture between the sexes were posited as major obstacles for change. Support for abandonment was influenced by notions of social obligation, religion, education, ethnicity, urban living, migration, and understanding of the negative sequelae of FGM. The strongest influence was education.ConclusionThe level of education of men was one of the most important indicators for mens support for abandonment of FGM. Social obligation and the lack of dialogue between men and women were two key issues that men acknowledged as barriers to abandonment. Advocacy by men and collaboration between men and womens health and community programs may be important steps forward in the abandonment process.",70.27
"﻿The impact of physical, psychological, and sexual intimate male partner violence on women's mental health: depressive symptoms, posttraumatic stress disorder, state anxiety, and suicide. OBJECTIVE This study aimed to determine the impact of lifetime physical, psychological, and sexual intimate male partner violence (IPV) on the mental health of women, after controlling for the contribution of lifetime victimization. The comorbidity of depressive symptoms and posttraumatic stress disorder (PTSD) and their relation to state anxiety and suicide were also assessed. METHODS Physically/psychologically (n = 75) and psychologically abused women (n = 55) were compared with nonabused control women (n = 52). Information about sociodemographic characteristics, lifetime victimization, and mental health status (depressive and state anxiety symptoms, PTSD, and suicide) was obtained through face-to-face structured interviews. RESULTS Women exposed to physical/psychological and psychological IPV had a higher incidence and severity of depressive and anxiety symptoms, PTSD, and thoughts of suicide than control women, with no differences between the two abused groups. The concomitance of sexual violence was associated with a higher severity of depressive symptoms in both abused groups and a higher incidence of suicide attempts in the physically/psychologically abused group. The incidence of PTSD alone was very rare, and depressive symptoms were either alone or comorbid with PTSD. The severity of state anxiety was higher in abused women with depressive symptoms or comorbidity, as was the incidence of suicidal thoughts in the physically/psychologically abused group. Lifetime victimization was not a predictor of the deterioration of mental health in this study. CONCLUSIONS These findings indicate that psychological IPV is as detrimental as physical IPV, with the exception of effects on suicidality, which emphasizes that psychological IPV should be considered a major type of violence by all professionals involved.",75.04
"﻿Pattern of Exploitation and Organised Crime: Study on Homeless Beggars in Patna, Bihar Homelessness has been one of the issues that remain unresolved in parts of India due to complicated and interwoven factors. Human rights groups have also found that in India children are sometimes forced into pornography, prostitution and sex slavery. The purpose of the study is to find out the pattern of exploitation and victimization of the beggar population in Patna district. The study is qualitative and exploratory in nature. Purposive sampling was used to conduct this study with 22 beggars including female and male beggars aged between 13 to 55. The study reveals that homeless beggars are victims of organized crimes and face exploitation such as physical torture and economic loss. Female beggars face sexual exploitation and are manipulated into prostitution. Young beggars are manipulated and forced into drug abuse and drug dealing, pick pocketing, stealing and robbery. With no doubt, the illegal activities are being operated by gangs & supported by local police. Homeless beggars are being targeted and continuously exploited by gangs especially young girls & children. State needs to take immediate steps to prevent these vulnerable populations from being victimized being homeless. The study is conducted at specific places where beggars‟ daily activities are centralized with consequence that the findings are potentially very context specific. Index TermHomeless, Beggars, Exploitation, Victim, Prostitution.",76.38
